address,number,addressInfo,levels,label,usage,comment,priceRange,toGo,startY,endY,inhabited,moreIndustry,seats,barTable,railings,roof,branded,createdAt;;
GerhardstraÌÙe,1,EG,4,Marys Treff,Kneipe,,,,,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,1,EG,4,DrInk Bar,Bar,,,,,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,3,EG,3,Bar 99 Cent,Bar,,,,,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,4,EG,3,Nachtschicht St. Pauli,Bar,,,,,,,,,,,,,6/21/2016;;
GerhardstraÌÙe,5,EG,3,Night Light,Kneipe,,,,,,,,,,,,,6/21/2016;;
GerhardstraÌÙe,7,EG,3,Queen Calavera,Burlesque Bar,,,,,,true,true,,,,,,6/21/2016;;
GerhardstraÌÙe,7,EG,3,Sportpub Tankstelle,Pub,,,,,,true,true,,,,,,6/21/2016;;
GerhardstraÌÙe,8,EG,1,Kiez Klause,Kneipe,??? Hausnr,,,1930,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,10,EG,1,Gerhards,Kneipe,??? Hausnr; Innenhof mit Whg,,,,,true,,,,,,,6/21/2016;
GerhardstraÌÙe,12,EG,5,Rote Laterne,Bar,??? Hausnr,,,,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,14,EG,3,Peggy Sue,Bar,??? Hausnr; Absteige im Objekt,,,,,ture,,,,,,,6/21/2016;
GerhardstraÌÙe,15,EG,5,Reitclub,Kneipe,??? Hausnr,,,,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,16,UG,3,Inside 80s Club,Tanzbar,,,,,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,16,EG,3,Der blaue Engel,Bar,teilweise bewohnt,,,,,true,,,,,,,6/21/2016;;
GerhardstraÌÙe,17,EG,2,KÌ_ptå«n Brass,Kneipe,Gewerbe in OGs,,,,,false,true,,,,,,6/21/2016;;
GerhardstraÌÙe,18,EG,1,Harpers One,Pub,Absteige oder Leerstand,,,,,false,,,,,,,6/21/2016;;
GerhardstraÌÙe,19,EG,,Hanseport Hamburg,Hotel,weiterer Eingang; Hotel mit Parkgarage und Apartments; eine Mietwohnung im Objekt,,,,,,,,,,,,6/21/2016
